"code","outstanding"
"002360","327270912.0"
"002361","809123008.0"
"002362","207593936.0"
"002363","415758176.0"
"002364","558104448.0"
"002365","245560096.0"
"002366","1256464384.0"
"002367","526680480.0"
"002368","620216512.0"
"002369","565973376.0"
"002370","739627904.0"
"002371","533372032.0"
"002372","1470858112.0"
"002373","1377594112.0"
"002374","1085209344.0"
"002375","1326793728.0"
"002376","787464576.0"
"002377","871691072.0"
"002378","1195089536.0"
"002379","1136373760.0"
"002380","141751888.0"
"002381","322025920.0"
"002382","999697280.0"
"002383","740360320.0"
"002384","1386321664.0"
"002385","3524077824.0"
"002386","1301415424.0"
"002387","1394851328.0"
"002388","506528544.0"
"002389","990822144.0"
"002390","1852305024.0"
"002391","464120800.0"
"002392","835342656.0"
"002393","250324608.0"
"002394","323285600.0"
"002395","268208992.0"
"002396","583280256.0"
"002397","612637504.0"
"002398","579367936.0"
"002399","1247201664.0"
"002400","1726164608.0"
"002401","371363936.0"
"002402","801381248.0"
"002403","297161440.0"
"002404","455787104.0"
"002405","2355522816.0"
"002406","602212032.0"
"002407","1080550784.0"
"002408","2720595968.0"
"002409","318522752.0"
"002410","1588325376.0"
"002412","497844992.0"
"002413","1238501632.0"
"002414","3398612480.0"
"002415","9105670144.0"
"002416","1223904256.0"
"002418","1136396800.0"
"002419","1168684800.0"
"002420","394787744.0"
"002421","2006691712.0"
"002422","1305874688.0"
"002423","2304105472.0"
"002424","1213214464.0"
"002425","956060928.0"
"002426","3402599936.0"
"002427","984756864.0"
"002428","653035648.0"
"002429","4524333056.0"
"002430","977517120.0"
"002431","1812816256.0"
"002432","441691616.0"
"002434","1311336064.0"
"002436","1500423040.0"
"002437","2073374464.0"
"002438","468880672.0"
"002439","725269568.0"
"002440","946359424.0"
"002441","399079744.0"
"002442","488472704.0"
"002443","519426560.0"
"002444","1143168384.0"
"002445","2381441792.0"
"002446","847683328.0"
"002448","486876672.0"
"002449","618477184.0"
"002451","439148992.0"
"002452","515904800.0"
"002453","610878272.0"
"002454","626979200.0"
"002455","519230528.0"
"002456","3251120128.0"
"002457","333321664.0"
